過帳日期	序列	控制科目	總帳科目/業務夥伴代碼	備註	 借項/貸項〈本幣〉 	 沖銷科目 	沖銷科目名稱	借項〈本幣〉	貸項〈本幣〉	累計餘額〈本幣〉					
2021.05.	主	585600	585600	翻譯費	" 2,381 "	 S0055 	KK數位翻譯股份有限公司	2381		2381					
2021.05.	主	585600	585600	OO代墊費用	 873 	 S0014 	會計師事務所	873		3254					
2021.06.	主	585600	585600	It service(4-6月)	" 43,966 "	 8000000-1 	母公司 (費用)	43966		47220					
2021.09.	主	585600	585600	OO代墊費用	" 7,562 "	 S0014 	會計師事務所	7562		54782					
2021.09.	主	585600	585600	It service(7-9月)	" 42,598 "	 8000000-1 	母公司 (費用)	42598		97380					
2021.10.	主	585600	585600	香港子公司合約翻譯	 600 	 S0055 	KK數位翻譯股份有限公司	600		97980					
2021.11.	主	585600	585600	110年簽證公費	" 225,000 "	 S0014 	會計師事務所	225000		322980					
2021.12.	主	585600	585600	徵信費(12月)	" 4,105 "	 S0062 	XX徵信所企業股份有限公司	4105		327085					
2021.12.	主	585600	585600	It service(10-12月)	" 40,904 "	 8000000-1 	母公司 (費用)	40904		367989					
2022.03.	主	585600	585600	IT System(2021/4-2022/3)	" 835,376 "	 8000000-1 	母公司 (費用)	835376		1203365					
2022.03.	主	585600	585600	IT System(2021/4-2022/3)〈迴轉〉 - 23053	"-835,376 "	 8000000-1 	母公司 (費用)		835376	367989					
2022.03.	主	585600	585600	IT system(2021/4-2022/3)	" 763,856 "	 8000000-1 	母公司 (費用)	763856		1131845					
2022.03.	主	585600	585600	IT service(1-3月)	" 37,498 "	 8000000-1 	母公司 (費用)	37498		1169343					
2022.03.	主	585600	585600	110年度簽證公費(下期)	" 225,000 "	 S0014 	會計師事務所	225000		1394343					
